id,name,website,domain,hq_country,hq_city,entity_type,sectors,founded_year,ownership,funding_stage,total_disclosed_funding,last_funding_date,status,evidence_url,source,source_date,confidence
unnamed-durable-rfid-and-secured-qr-for-textile,(unnamed) Durable RFID and secured QR for textile,,,,,not-a-supplier,textiles,,,,,,active,,digital-product-passport.pro directory,2026-07-28,unverified
360-smart-connect,360 Smart Connect,https://360sc.io,360sc.io,France,Trans en Provence,platform,construction,,,,,,active,https://360sc.io/digitalproductpassport/,official company website,2026-07-28,verified
3e-exchange,3E Exchange,https://www.3eco.com,3eco.com,USA,Carlsbad,platform,"textiles,furniture,construction,electronics,chemicals",1988,subsidiary of New Mountain Capital,subsidiary,,,active,https://www.3eco.com/3e-solutions/supply-chain-visibility/3e-exchange/,official company website; official investor portfolio,2026-07-28,verified
accentis-cis,Accentis CIS,https://www.accentis.org,accentis.org,,,consultancy,,,,,,,active,https://www.accentis.org/,official company website,2026-07-28,claimed
aidgent,Aidgent,https://www.aidgent.io,aidgent.io,Sweden,Stockholm,identity-carrier,,,,,,,active,https://www.aidgent.io/digital-product-pass,official product page: the assistant presents the Digital Product Pass at the point of scan; it does not state that it generates or hosts the passport,2026-07-29,claimed
aleverum-global,Aleverum Global,https://aleverum.com,aleverum.com,Australia,Ultimo,platform,"textiles,electronics,batteries,construction",,,,,,active,https://aleverum.com/,official company website,2026-07-28,verified
alternew,Alternew,https://www.alternew.com,alternew.com,,,platform,textiles,,,,,,active,https://www.alternew.com/,official company website,2026-07-28,claimed
arianee,Arianee,https://www.arianee.com,arianee.com,France,Paris,platform,"batteries,textiles,electronics,furniture",,independent,,,,active,https://dppindex.eu/dpp-providers/arianee,dppindex.eu,2026-07-28,verified
aroundata-consulting,arounData consulting,https://www.aroundata.com,aroundata.com,Switzerland,Geneva,consultancy,,,,,,,active,https://www.aroundata.com/en/,official company website,2026-07-28,verified
atma,atma.io,https://www.atma.io,atma.io,USA,Mentor,platform,"batteries,textiles,electronics",,subsidiary of Avery Dennison Corporation (NYSE: AVY),subsidiary,,,active,https://rfid.averydennison.com/en/home/products-solutions/iot/connected-product-cloud.html,official parent-company website,2026-07-28,verified
authena,Authena,https://authena.io,authena.io,Switzerland,Zug,identity-carrier,food,,,,,,active,https://authena.io/digital-product-passport-dpp-a-game-changer-for-a-sustainable-circular-economy/,official company website,2026-07-28,verified
avl,AVL,https://www.avl.com,avl.com,Austria,Graz,platform,"batteries,automotive",,family-controlled (List Capital & Consulting GmbH 100%),,,,active,https://www.avl.com/en/software/avl-digital-battery-passport,official company website,2026-07-28,verified
aware,AWARE,https://www.traceaware.io,traceaware.io,Netherlands,Amsterdam,identity-carrier,textiles,,,,,,active,https://www.traceaware.io/resource-centre/first-china-europe-digital-product-passport-for-textiles,official company website,2026-07-28,verified
batteriepasswerk,Batteriepasswerk,https://www.batteriepasswerk.com,batteriepasswerk.com,Germany,Hamburg,platform,batteries,,,,,,active,https://www.batteriepasswerk.com/en,official company website,2026-07-28,verified
battery-pass-consortium,Battery Pass consortium,https://thebatterypass.eu,thebatterypass.eu,,,project-consortium,batteries,2022,,grant-funded,EUR 8.2m,,dormant,https://thebatterypass.eu/,official project website,2026-07-28,claimed
